sninamn,year,ghg_utsl
off_sek,2010,574
off_sek,2011,512
off_sek,2012,522
off_sek,2013,456
off_sek,2014,427
off_sek,2015,421
off_sek,2016,412
off_sek,2017,395
off_sek,2018,385
off_sek,2019,413
off_sek,2020,398
off_sek,2021,393
off_sek,2022,367
off_sek,2023,
hsh_icke,2003,
hsh_icke,2004,
hsh_icke,2005,
hsh_icke,2006,
hsh_icke,2007,
hsh_icke,2008,22
hsh_icke,2009,22
hsh_icke,2010,23
hsh_icke,2011,22
hsh_icke,2012,22
hsh_icke,2013,21
hsh_icke,2014,21
hsh_icke,2015,21
hsh_icke,2016,19
hsh_icke,2017,19
hsh_icke,2018,18
hsh_icke,2019,18
hsh_icke,2020,16
hsh_icke,2021,16
hsh_icke,2022,14
hsh_icke,2023,
priv_kom,2003,
priv_kom,2004,
priv_kom,2005,
priv_kom,2006,
priv_kom,2007,
priv_kom,2008,11425
priv_kom,2009,11381
priv_kom,2010,11173
priv_kom,2011,10432
priv_kom,2012,10041
priv_kom,2013,9948
priv_kom,2014,9850
priv_kom,2015,9998
priv_kom,2016,9738
priv_kom,2017,9583
priv_kom,2018,9212
priv_kom,2019,8922
priv_kom,2020,8329
priv_kom,2021,8343
priv_kom,2022,7448
priv_kom,2023,
tot,2003,
tot,2004,
tot,2005,
tot,2006,
tot,2007,
tot,2008,67715
tot,2009,62276
tot,2010,68396
tot,2011,63036
tot,2012,59481
tot,2013,58074
tot,2014,56567
tot,2015,57084
tot,2016,58027
tot,2017,56509
tot,2018,55632
tot,2019,54185
tot,2020,48614
tot,2021,50748
tot,2022,49273
tot,2023,
nat_tot_exk,2003,
nat_tot_exk,2004,
nat_tot_exk,2005,
nat_tot_exk,2006,
nat_tot_exk,2007,
nat_tot_exk,2008,62406.1
nat_tot_exk,2009,58174.2
nat_tot_exk,2010,64156.9
nat_tot_exk,2011,59800.4
nat_tot_exk,2012,56899.5
nat_tot_exk,2013,55273.9
nat_tot_exk,2014,53519.1
nat_tot_exk,2015,53339.5
nat_tot_exk,2016,53243.3
nat_tot_exk,2017,52318.2
nat_tot_exk,2018,51563
nat_tot_exk,2019,50201.2
nat_tot_exk,2020,45999.6
nat_tot_exk,2021,47723.1
nat_tot_exk,2022,45249.3
nat_tot_exk,2023,
nat_tot_int,2003,
nat_tot_int,2004,
nat_tot_int,2005,
nat_tot_int,2006,
nat_tot_int,2007,
nat_tot_int,2008,71772.4
nat_tot_int,2009,67620.1
nat_tot_int,2010,73222.6
nat_tot_int,2011,67920.3
nat_tot_int,2012,64661.7
nat_tot_int,2013,62783.8
nat_tot_int,2014,61495.7
nat_tot_int,2015,61372.3
nat_tot_int,2016,62208
nat_tot_int,2017,62501.3
nat_tot_int,2018,60115.9
nat_tot_int,2019,59872.8
nat_tot_int,2020,55246.9
nat_tot_int,2021,56205.6
nat_tot_int,2022,54120.1
nat_tot_int,2023,
nat_tot_ink,2003,
nat_tot_ink,2004,
nat_tot_ink,2005,
nat_tot_ink,2006,
nat_tot_ink,2007,
nat_tot_ink,2008,17140.3
nat_tot_ink,2009,14025.7
nat_tot_ink,2010,16409
nat_tot_ink,2011,12019.3
nat_tot_ink,2012,9110.5
nat_tot_ink,2013,6172
nat_tot_ink,2014,6509.2
nat_tot_ink,2015,9031
nat_tot_ink,2016,10935
nat_tot_ink,2017,17798.2
nat_tot_ink,2018,21505.9
