sni_id,year,ant_for_noll
hushallsproducenter_avd,2015,2
hushallsproducenter_avd,2016,2
hushallsproducenter_avd,2017,0
hushallsproducenter_avd,2018,2
hushallsproducenter_avd,2019,2
hushallsproducenter_avd,2020,0
hushallsproducenter_avd,2021,0
hushallsproducenter_avd,2022,
hushallsproducenter_avd,2023,
huvudkontor_kons,2000,
huvudkontor_kons,2001,
huvudkontor_kons,2002,
huvudkontor_kons,2003,
huvudkontor_kons,2004,
huvudkontor_kons,2005,
huvudkontor_kons,2006,31802
huvudkontor_kons,2007,33445
huvudkontor_kons,2008,31329
huvudkontor_kons,2009,38297
huvudkontor_kons,2010,38737
huvudkontor_kons,2011,38918
huvudkontor_kons,2012,40326
huvudkontor_kons,2013,41552
huvudkontor_kons,2014,43628
huvudkontor_kons,2015,44283
huvudkontor_kons,2016,45201
huvudkontor_kons,2017,46503
huvudkontor_kons,2018,52880
huvudkontor_kons,2019,54735
huvudkontor_kons,2020,56671
huvudkontor_kons,2021,58454
huvudkontor_kons,2022,
huvudkontor_kons,2023,
icke_met_andra,2000,
icke_met_andra,2001,
icke_met_andra,2002,
icke_met_andra,2003,
icke_met_andra,2004,
icke_met_andra,2005,
icke_met_andra,2006,1469
icke_met_andra,2007,1435
icke_met_andra,2008,1388
icke_met_andra,2009,1506
icke_met_andra,2010,1486
icke_met_andra,2011,1436
icke_met_andra,2012,1417
icke_met_andra,2013,1388
icke_met_andra,2014,1405
icke_met_andra,2015,1382
icke_met_andra,2016,1350
icke_met_andra,2017,1365
icke_met_andra,2018,1397
icke_met_andra,2019,1438
icke_met_andra,2020,1485
icke_met_andra,2021,1496
icke_met_andra,2022,
icke_met_andra,2023,
datorer_elek,2000,
datorer_elek,2001,
datorer_elek,2002,
datorer_elek,2003,
datorer_elek,2004,
datorer_elek,2005,
datorer_elek,2006,908
datorer_elek,2007,880
datorer_elek,2008,747
datorer_elek,2009,879
datorer_elek,2010,839
datorer_elek,2011,795
datorer_elek,2012,816
datorer_elek,2013,870
datorer_elek,2014,901
datorer_elek,2015,838
datorer_elek,2016,831
datorer_elek,2017,814
datorer_elek,2018,850
datorer_elek,2019,871
datorer_elek,2020,876
datorer_elek,2021,859
datorer_elek,2022,
datorer_elek,2023,
elapparatur,2000,
elapparatur,2001,
elapparatur,2002,
elapparatur,2003,
elapparatur,2004,
elapparatur,2005,
elapparatur,2006,352
elapparatur,2007,352
elapparatur,2008,323
elapparatur,2009,390
elapparatur,2010,371
elapparatur,2011,345
elapparatur,2012,347
