sni_id,year,ant_for_fem
informationstjanstforetag,2019,140
informationstjanstforetag,2020,157
informationstjanstforetag,2021,144
informationstjanstforetag,2022,
informationstjanstforetag,2023,
internationella_org,2000,
internationella_org,2001,
internationella_org,2002,
internationella_org,2003,
internationella_org,2004,
internationella_org,2005,
internationella_org,2006,1
internationella_org,2007,2
internationella_org,2008,2
internationella_org,2009,1
internationella_org,2010,1
internationella_org,2011,1
internationella_org,2012,1
internationella_org,2013,1
internationella_org,2014,2
internationella_org,2015,1
internationella_org,2016,2
internationella_org,2017,2
internationella_org,2018,13
internationella_org,2019,13
internationella_org,2020,17
internationella_org,2021,16
internationella_org,2022,
internationella_org,2023,
intresseorganisationer,2000,
intresseorganisationer,2001,
intresseorganisationer,2002,
intresseorganisationer,2003,
intresseorganisationer,2004,
