sni_id,year,ant_for_tio
industri_for_tra,2006,243
industri_for_tra,2007,244
industri_for_tra,2008,244
industri_for_tra,2009,244
industri_for_tra,2010,244
industri_for_tra,2011,216
industri_for_tra,2012,198
industri_for_tra,2013,190
industri_for_tra,2014,189
industri_for_tra,2015,187
industri_for_tra,2016,193
industri_for_tra,2017,200
industri_for_tra,2018,210
industri_for_tra,2019,215
industri_for_tra,2020,204
industri_for_tra,2021,204
industri_for_tra,2022,
industri_for_tra,2023,
rapetroleum,2000,
rapetroleum,2001,
rapetroleum,2002,
rapetroleum,2003,
rapetroleum,2004,
rapetroleum,2005,
rapetroleum,2006,0
rapetroleum,2007,0
rapetroleum,2008,0
rapetroleum,2009,0
rapetroleum,2010,0
rapetroleum,2011,0
rapetroleum,2012,0
rapetroleum,2013,0
rapetroleum,2014,0
rapetroleum,2015,0
rapetroleum,2016,0
rapetroleum,2017,0
rapetroleum,2018,0
rapetroleum,2019,0
rapetroleum,2020,0
rapetroleum,2021,0
rapetroleum,2022,
rapetroleum,2023,
informationstjanstforetag,2000,
informationstjanstforetag,2001,
informationstjanstforetag,2002,
informationstjanstforetag,2003,
informationstjanstforetag,2004,
informationstjanstforetag,2005,
informationstjanstforetag,2006,45
informationstjanstforetag,2007,48
informationstjanstforetag,2008,53
informationstjanstforetag,2009,56
informationstjanstforetag,2010,52
informationstjanstforetag,2011,54
informationstjanstforetag,2012,64
informationstjanstforetag,2013,66
informationstjanstforetag,2014,67
informationstjanstforetag,2015,80
informationstjanstforetag,2016,85
informationstjanstforetag,2017,95
informationstjanstforetag,2018,106
informationstjanstforetag,2019,105
informationstjanstforetag,2020,108
informationstjanstforetag,2021,103
informationstjanstforetag,2022,
informationstjanstforetag,2023,
internationella_org,2000,
internationella_org,2001,
internationella_org,2002,
internationella_org,2003,
internationella_org,2004,
internationella_org,2005,
internationella_org,2006,0
internationella_org,2007,0
internationella_org,2008,0
internationella_org,2009,1
internationella_org,2010,1
internationella_org,2011,1
internationella_org,2012,1
internationella_org,2013,1
internationella_org,2014,0
internationella_org,2015,1
internationella_org,2016,1
internationella_org,2017,1
internationella_org,2018,16
internationella_org,2019,14
internationella_org,2020,9
internationella_org,2021,13
internationella_org,2022,
internationella_org,2023,
intresseorganisationer,2000,
intresseorganisationer,2001,
intresseorganisationer,2002,
intresseorganisationer,2003,
intresseorganisationer,2004,
intresseorganisationer,2005,
intresseorganisationer,2006,685
intresseorganisationer,2007,685
intresseorganisationer,2008,650
intresseorganisationer,2009,669
intresseorganisationer,2010,645
intresseorganisationer,2011,667
